SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2012S2,TOTAL,Y009,TOTAL,POP,,76666
2012S2,TOTAL,Y010,M,POP,,38096
2012S2,TOTAL,Y010,F,POP,,35984
2012S2,TOTAL,Y010,TOTAL,POP,,74080
2012S2,TOTAL,Y011,M,POP,,37671
2012S2,TOTAL,Y011,F,POP,,35766
2012S2,TOTAL,Y011,TOTAL,POP,,73437
2012S2,TOTAL,Y012,M,POP,,37011
2012S2,TOTAL,Y012,F,POP,,35231
2012S2,TOTAL,Y012,TOTAL,POP,,72242
2012S2,TOTAL,Y013,M,POP,,35869
2012S2,TOTAL,Y013,F,POP,,33593
2012S2,TOTAL,Y013,TOTAL,POP,,69462
2012S2,TOTAL,Y014,M,POP,,35445
2012S2,TOTAL,Y014,F,POP,,32852
2012S2,TOTAL,Y014,TOTAL,POP,,68297
2012S2,TOTAL,Y015,M,POP,,35118
2012S2,TOTAL,Y015,F,POP,,32418
2012S2,TOTAL,Y015,TOTAL,POP,,67536
2012S2,TOTAL,Y016,M,POP,,34482
2012S2,TOTAL,Y016,F,POP,,31858
2012S2,TOTAL,Y016,TOTAL,POP,,66340
2012S2,TOTAL,Y017,M,POP,,34370
2012S2,TOTAL,Y017,F,POP,,32015
2012S2,TOTAL,Y017,TOTAL,POP,,66385
2012S2,TOTAL,Y018,M,POP,,35120
2012S2,TOTAL,Y018,F,POP,,32559
2012S2,TOTAL,Y018,TOTAL,POP,,67679
2012S2,TOTAL,Y019,M,POP,,36016
2012S2,TOTAL,Y019,F,POP,,33623
2012S2,TOTAL,Y019,TOTAL,POP,,69639
2012S2,TOTAL,Y020,M,POP,,36482
2012S2,TOTAL,Y020,F,POP,,34330
2012S2,TOTAL,Y020,TOTAL,POP,,70812
2012S2,TOTAL,Y021,M,POP,,36753
2012S2,TOTAL,Y021,F,POP,,34947
2012S2,TOTAL,Y021,TOTAL,POP,,71700
2012S2,TOTAL,Y022,M,POP,,37600
2012S2,TOTAL,Y022,F,POP,,36275
2012S2,TOTAL,Y022,TOTAL,POP,,73875
2012S2,TOTAL,Y023,M,POP,,38584
2012S2,TOTAL,Y023,F,POP,,38174
2012S2,TOTAL,Y023,TOTAL,POP,,76758
2012S2,TOTAL,Y024,M,POP,,39943
2012S2,TOTAL,Y024,F,POP,,40028
2012S2,TOTAL,Y024,TOTAL,POP,,79971
2012S2,TOTAL,Y025,M,POP,,41422
2012S2,TOTAL,Y025,F,POP,,42120
2012S2,TOTAL,Y025,TOTAL,POP,,83542
2012S2,TOTAL,Y026,M,POP,,43902
2012S2,TOTAL,Y026,F,POP,,44712
2012S2,TOTAL,Y026,TOTAL,POP,,88614
2012S2,TOTAL,Y027,M,POP,,46600
2012S2,TOTAL,Y027,F,POP,,47277
2012S2,TOTAL,Y027,TOTAL,POP,,93877
2012S2,TOTAL,Y028,M,POP,,49072
2012S2,TOTAL,Y028,F,POP,,49552
2012S2,TOTAL,Y028,TOTAL,POP,,98624
2012S2,TOTAL,Y029,M,POP,,52686
2012S2,TOTAL,Y029,F,POP,,52402
2012S2,TOTAL,Y029,TOTAL,POP,,105088
2012S2,TOTAL,Y030,M,POP,,56682
2012S2,TOTAL,Y030,F,POP,,55374
2012S2,TOTAL,Y030,TOTAL,POP,,112056
2012S2,TOTAL,Y031,M,POP,,60327
2012S2,TOTAL,Y031,F,POP,,58368
2012S2,TOTAL,Y031,TOTAL,POP,,118695
2012S2,TOTAL,Y032,M,POP,,63532
2012S2,TOTAL,Y032,F,POP,,61168
2012S2,TOTAL,Y032,TOTAL,POP,,124700
2012S2,TOTAL,Y033,M,POP,,67175
2012S2,TOTAL,Y033,F,POP,,63690
2012S2,TOTAL,Y033,TOTAL,POP,,130865
2012S2,TOTAL,Y034,M,POP,,70119
2012S2,TOTAL,Y034,F,POP,,65897
2012S2,TOTAL,Y034,TOTAL,POP,,136016
2012S2,TOTAL,Y035,M,POP,,71684
2012S2,TOTAL,Y035,F,POP,,66932
2012S2,TOTAL,Y035,TOTAL,POP,,138616
2012S2,TOTAL,Y036,M,POP,,72507
2012S2,TOTAL,Y036,F,POP,,67256
2012S2,TOTAL,Y036,TOTAL,POP,,139763
2012S2,TOTAL,Y037,M,POP,,72330
2012S2,TOTAL,Y037,F,POP,,66741
2012S2,TOTAL,Y037,TOTAL,POP,,139071
2012S2,TOTAL,Y038,M,POP,,70659
2012S2,TOTAL,Y038,F,POP,,65249
2012S2,TOTAL,Y038,TOTAL,POP,,135908
2012S2,TOTAL,Y039,M,POP,,68881
2012S2,TOTAL,Y039,F,POP,,63788
2012S2,TOTAL,Y039,TOTAL,POP,,132669
