any;Catalunya;edat any a any;nacionalitat;sexe;concepte;estat;valor
2021;Catalunya;27 anys;espanyola;homes;població;;30585
2021;Catalunya;27 anys;espanyola;dones;població;;29555
2021;Catalunya;27 anys;espanyola;total;població;;60140
2021;Catalunya;27 anys;estrangera;homes;població;;13664
2021;Catalunya;27 anys;estrangera;dones;població;;13300
2021;Catalunya;27 anys;estrangera;total;població;;26964
2021;Catalunya;27 anys;total;homes;població;;44249
2021;Catalunya;27 anys;total;dones;població;;42855
2021;Catalunya;27 anys;total;total;població;;87104
2021;Catalunya;28 anys;espanyola;homes;població;;31578
2021;Catalunya;28 anys;espanyola;dones;població;;30358
2021;Catalunya;28 anys;espanyola;total;població;;61936
2021;Catalunya;28 anys;estrangera;homes;població;;14332
2021;Catalunya;28 anys;estrangera;dones;població;;14054
2021;Catalunya;28 anys;estrangera;total;població;;28386
2021;Catalunya;28 anys;total;homes;població;;45910
2021;Catalunya;28 anys;total;dones;població;;44412
2021;Catalunya;28 anys;total;total;població;;90322
2021;Catalunya;29 anys;espanyola;homes;població;;31176
2021;Catalunya;29 anys;espanyola;dones;població;;29851
2021;Catalunya;29 anys;espanyola;total;població;;61027
2021;Catalunya;29 anys;estrangera;homes;població;;14305
2021;Catalunya;29 anys;estrangera;dones;població;;14413
2021;Catalunya;29 anys;estrangera;total;població;;28718
2021;Catalunya;29 anys;total;homes;població;;45481
2021;Catalunya;29 anys;total;dones;població;;44264
2021;Catalunya;29 anys;total;total;població;;89745
2021;Catalunya;30 anys;espanyola;homes;població;;31295
2021;Catalunya;30 anys;espanyola;dones;població;;30021
2021;Catalunya;30 anys;espanyola;total;població;;61316
2021;Catalunya;30 anys;estrangera;homes;població;;15046
2021;Catalunya;30 anys;estrangera;dones;població;;15297
2021;Catalunya;30 anys;estrangera;total;població;;30343
2021;Catalunya;30 anys;total;homes;població;;46341
2021;Catalunya;30 anys;total;dones;població;;45318
2021;Catalunya;30 anys;total;total;població;;91659
2021;Catalunya;31 anys;espanyola;homes;població;;31528
2021;Catalunya;31 anys;espanyola;dones;població;;30273
2021;Catalunya;31 anys;espanyola;total;població;;61801
2021;Catalunya;31 anys;estrangera;homes;població;;15002
2021;Catalunya;31 anys;estrangera;dones;població;;15426
2021;Catalunya;31 anys;estrangera;total;població;;30428
2021;Catalunya;31 anys;total;homes;població;;46530
2021;Catalunya;31 anys;total;dones;població;;45699
2021;Catalunya;31 anys;total;total;població;;92229
2021;Catalunya;32 anys;espanyola;homes;població;;31822
2021;Catalunya;32 anys;espanyola;dones;població;;31303
2021;Catalunya;32 anys;espanyola;total;població;;63125
2021;Catalunya;32 anys;estrangera;homes;població;;15468
2021;Catalunya;32 anys;estrangera;dones;població;;16046
2021;Catalunya;32 anys;estrangera;total;població;;31514
2021;Catalunya;32 anys;total;homes;població;;47290
2021;Catalunya;32 anys;total;dones;població;;47349
2021;Catalunya;32 anys;total;total;població;;94639
2021;Catalunya;33 anys;espanyola;homes;població;;32342
2021;Catalunya;33 anys;espanyola;dones;població;;31300
2021;Catalunya;33 anys;espanyola;total;població;;63642
2021;Catalunya;33 anys;estrangera;homes;població;;15488
2021;Catalunya;33 anys;estrangera;dones;població;;15851
2021;Catalunya;33 anys;estrangera;total;població;;31339
2021;Catalunya;33 anys;total;homes;població;;47830
2021;Catalunya;33 anys;total;dones;població;;47151
2021;Catalunya;33 anys;total;total;població;;94981
2021;Catalunya;34 anys;espanyola;homes;població;;32889
2021;Catalunya;34 anys;espanyola;dones;població;;32941
2021;Catalunya;34 anys;espanyola;total;població;;65830
2021;Catalunya;34 anys;estrangera;homes;població;;15184
2021;Catalunya;34 anys;estrangera;dones;població;;15920
2021;Catalunya;34 anys;estrangera;total;població;;31104
2021;Catalunya;34 anys;total;homes;població;;48073
2021;Catalunya;34 anys;total;dones;població;;48861
2021;Catalunya;34 anys;total;total;població;;96934
2021;Catalunya;35 anys;espanyola;homes;població;;34814
2021;Catalunya;35 anys;espanyola;dones;població;;34447
2021;Catalunya;35 anys;espanyola;total;població;;69261
2021;Catalunya;35 anys;estrangera;homes;població;;15301
2021;Catalunya;35 anys;estrangera;dones;població;;15666
2021;Catalunya;35 anys;estrangera;total;població;;30967
2021;Catalunya;35 anys;total;homes;població;;50115
2021;Catalunya;35 anys;total;dones;població;;50113
2021;Catalunya;35 anys;total;total;població;;100228
2021;Catalunya;36 anys;espanyola;homes;població;;35796
2021;Catalunya;36 anys;espanyola;dones;població;;35832
2021;Catalunya;36 anys;espanyola;total;població;;71628
2021;Catalunya;36 anys;estrangera;homes;població;;15643
2021;Catalunya;36 anys;estrangera;dones;població;;15734
2021;Catalunya;36 anys;estrangera;total;població;;31377
2021;Catalunya;36 anys;total;homes;població;;51439
2021;Catalunya;36 anys;total;dones;població;;51566
2021;Catalunya;36 anys;total;total;població;;103005
2021;Catalunya;37 anys;espanyola;homes;població;;37393
2021;Catalunya;37 anys;espanyola;dones;població;;37892
2021;Catalunya;37 anys;espanyola;total;població;;75285
2021;Catalunya;37 anys;estrangera;homes;població;;15715
2021;Catalunya;37 anys;estrangera;dones;població;;15125
2021;Catalunya;37 anys;estrangera;total;població;;30840
2021;Catalunya;37 anys;total;homes;població;;53108
2021;Catalunya;37 anys;total;dones;població;;53017
2021;Catalunya;37 anys;total;total;població;;106125
2021;Catalunya;38 anys;espanyola;homes;població;;40441
2021;Catalunya;38 anys;espanyola;dones;població;;40703
2021;Catalunya;38 anys;espanyola;total;població;;81144
2021;Catalunya;38 anys;estrangera;homes;població;;16202
2021;Catalunya;38 anys;estrangera;dones;població;;14980
2021;Catalunya;38 anys;estrangera;total;població;;31182
2021;Catalunya;38 anys;total;homes;població;;56643
2021;Catalunya;38 anys;total;dones;població;;55683
2021;Catalunya;38 anys;total;total;població;;112326
2021;Catalunya;39 anys;espanyola;homes;població;;43501
2021;Catalunya;39 anys;espanyola;dones;població;;43175
2021;Catalunya;39 anys;espanyola;total;població;;86676
2021;Catalunya;39 anys;estrangera;homes;població;;15933
2021;Catalunya;39 anys;estrangera;dones;població;;14560
2021;Catalunya;39 anys;estrangera;total;població;;30493
2021;Catalunya;39 anys;total;homes;població;;59434
2021;Catalunya;39 anys;total;dones;població;;57735
2021;Catalunya;39 anys;total;total;població;;117169
2021;Catalunya;40 anys;espanyola;homes;població;;46072
2021;Catalunya;40 anys;espanyola;dones;població;;46395
2021;Catalunya;40 anys;espanyola;total;població;;92467
2021;Catalunya;40 anys;estrangera;homes;població;;16212
2021;Catalunya;40 anys;estrangera;dones;població;;14457
2021;Catalunya;40 anys;estrangera;total;població;;30669
2021;Catalunya;40 anys;total;homes;població;;62284
2021;Catalunya;40 anys;total;dones;població;;60852
2021;Catalunya;40 anys;total;total;població;;123136
2021;Catalunya;41 anys;espanyola;homes;població;;49084
2021;Catalunya;41 anys;espanyola;dones;població;;48708
2021;Catalunya;41 anys;espanyola;total;població;;97792
2021;Catalunya;41 anys;estrangera;homes;població;;15540
2021;Catalunya;41 anys;estrangera;dones;població;;13793
2021;Catalunya;41 anys;estrangera;total;població;;29333
2021;Catalunya;41 anys;total;homes;població;;64624
2021;Catalunya;41 anys;total;dones;població;;62501
2021;Catalunya;41 anys;total;total;població;;127125
2021;Catalunya;42 anys;espanyola;homes;població;;52557
2021;Catalunya;42 anys;espanyola;dones;població;;52163
2021;Catalunya;42 anys;espanyola;total;població;;104720
2021;Catalunya;42 anys;estrangera;homes;població;;15638
2021;Catalunya;42 anys;estrangera;dones;població;;13072
2021;Catalunya;42 anys;estrangera;total;població;;28710
2021;Catalunya;42 anys;total;homes;població;;68195
2021;Catalunya;42 anys;total;dones;població;;65235
2021;Catalunya;42 anys;total;total;població;;133430
2021;Catalunya;43 anys;espanyola;homes;població;;54273
2021;Catalunya;43 anys;espanyola;dones;població;;54058
2021;Catalunya;43 anys;espanyola;total;població;;108331
2021;Catalunya;43 anys;estrangera;homes;població;;15079
2021;Catalunya;43 anys;estrangera;dones;població;;12145
2021;Catalunya;43 anys;estrangera;total;població;;27224
2021;Catalunya;43 anys;total;homes;població;;69352
2021;Catalunya;43 anys;total;dones;població;;66203
2021;Catalunya;43 anys;total;total;població;;135555
2021;Catalunya;44 anys;espanyola;homes;població;;55974
2021;Catalunya;44 anys;espanyola;dones;població;;55379
2021;Catalunya;44 anys;espanyola;total;població;;111353
2021;Catalunya;44 anys;estrangera;homes;població;;14086
2021;Catalunya;44 anys;estrangera;dones;població;;11561
2021;Catalunya;44 anys;estrangera;total;població;;25647
2021;Catalunya;44 anys;total;homes;població;;70060
2021;Catalunya;44 anys;total;dones;població;;66940
2021;Catalunya;44 anys;total;total;població;;137000
2021;Catalunya;45 anys;espanyola;homes;població;;57178
2021;Catalunya;45 anys;espanyola;dones;població;;55921
2021;Catalunya;45 anys;espanyola;total;població;;113099
2021;Catalunya;45 anys;estrangera;homes;població;;13195
2021;Catalunya;45 anys;estrangera;dones;població;;10841
2021;Catalunya;45 anys;estrangera;total;població;;24036
2021;Catalunya;45 anys;total;homes;població;;70373
2021;Catalunya;45 anys;total;dones;població;;66762
2021;Catalunya;45 anys;total;total;població;;137135
2021;Catalunya;46 anys;espanyola;homes;població;;56648
2021;Catalunya;46 anys;espanyola;dones;població;;55398
2021;Catalunya;46 anys;espanyola;total;població;;112046
2021;Catalunya;46 anys;estrangera;homes;població;;12713
2021;Catalunya;46 anys;estrangera;dones;població;;10311
2021;Catalunya;46 anys;estrangera;total;població;;23024
2021;Catalunya;46 anys;total;homes;població;;69361
2021;Catalunya;46 anys;total;dones;població;;65709
2021;Catalunya;46 anys;total;total;població;;135070
2021;Catalunya;47 anys;espanyola;homes;població;;55048
2021;Catalunya;47 anys;espanyola;dones;població;;54391
2021;Catalunya;47 anys;espanyola;total;població;;109439
2021;Catalunya;47 anys;estrangera;homes;població;;11648
2021;Catalunya;47 anys;estrangera;dones;població;;9441
2021;Catalunya;47 anys;estrangera;total;població;;21089
2021;Catalunya;47 anys;total;homes;població;;66696
2021;Catalunya;47 anys;total;dones;població;;63832
2021;Catalunya;47 anys;total;total;població;;130528
2021;Catalunya;48 anys;espanyola;homes;població;;54379
2021;Catalunya;48 anys;espanyola;dones;població;;53694
2021;Catalunya;48 anys;espanyola;total;població;;108073
2021;Catalunya;48 anys;estrangera;homes;població;;11230
2021;Catalunya;48 anys;estrangera;dones;població;;9061
2021;Catalunya;48 anys;estrangera;total;població;;20291
2021;Catalunya;48 anys;total;homes;població;;65609
2021;Catalunya;48 anys;total;dones;població;;62755
2021;Catalunya;48 anys;total;total;població;;128364
2021;Catalunya;49 anys;espanyola;homes;població;;53546
2021;Catalunya;49 anys;espanyola;dones;població;;52380
2021;Catalunya;49 anys;espanyola;total;població;;105926
2021;Catalunya;49 anys;estrangera;homes;població;;10073
2021;Catalunya;49 anys;estrangera;dones;població;;8453
2021;Catalunya;49 anys;estrangera;total;població;;18526
2021;Catalunya;49 anys;total;homes;població;;63619
2021;Catalunya;49 anys;total;dones;població;;60833
2021;Catalunya;49 anys;total;total;població;;124452
2021;Catalunya;50 anys;espanyola;homes;població;;52095
2021;Catalunya;50 anys;espanyola;dones;població;;51841
2021;Catalunya;50 anys;espanyola;total;població;;103936
2021;Catalunya;50 anys;estrangera;homes;població;;10155
2021;Catalunya;50 anys;estrangera;dones;població;;8193
2021;Catalunya;50 anys;estrangera;total;població;;18348
2021;Catalunya;50 anys;total;homes;població;;62250
2021;Catalunya;50 anys;total;dones;població;;60034
2021;Catalunya;50 anys;total;total;població;;122284
2021;Catalunya;51 anys;espanyola;homes;població;;50740
2021;Catalunya;51 anys;espanyola;dones;població;;50565
2021;Catalunya;51 anys;espanyola;total;població;;101305
2021;Catalunya;51 anys;estrangera;homes;població;;8944
2021;Catalunya;51 anys;estrangera;dones;població;;7684
2021;Catalunya;51 anys;estrangera;total;població;;16628
2021;Catalunya;51 anys;total;homes;població;;59684
2021;Catalunya;51 anys;total;dones;població;;58249
2021;Catalunya;51 anys;total;total;població;;117933
2021;Catalunya;52 anys;espanyola;homes;població;;50108
2021;Catalunya;52 anys;espanyola;dones;població;;50121
2021;Catalunya;52 anys;espanyola;total;població;;100229
2021;Catalunya;52 anys;estrangera;homes;població;;8647
2021;Catalunya;52 anys;estrangera;dones;població;;7222
2021;Catalunya;52 anys;estrangera;total;població;;15869
2021;Catalunya;52 anys;total;homes;població;;58755
2021;Catalunya;52 anys;total;dones;població;;57343
2021;Catalunya;52 anys;total;total;població;;116098
2021;Catalunya;53 anys;espanyola;homes;població;;50930
2021;Catalunya;53 anys;espanyola;dones;població;;51168
2021;Catalunya;53 anys;espanyola;total;població;;102098
2021;Catalunya;53 anys;estrangera;homes;població;;7460
2021;Catalunya;53 anys;estrangera;dones;població;;6439
2021;Catalunya;53 anys;estrangera;total;població;;13899
2021;Catalunya;53 anys;total;homes;població;;58390
2021;Catalunya;53 anys;total;dones;població;;57607
2021;Catalunya;53 anys;total;total;població;;115997
2021;Catalunya;54 anys;espanyola;homes;població;;49953
2021;Catalunya;54 anys;espanyola;dones;població;;50099
2021;Catalunya;54 anys;espanyola;total;població;;100052
2021;Catalunya;54 anys;estrangera;homes;població;;6894
2021;Catalunya;54 anys;estrangera;dones;població;;5973
2021;Catalunya;54 anys;estrangera;total;població;;12867
2021;Catalunya;54 anys;total;homes;població;;56847
2021;Catalunya;54 anys;total;dones;població;;56072
2021;Catalunya;54 anys;total;total;població;;112919
2021;Catalunya;55 anys;espanyola;homes;població;;48959
2021;Catalunya;55 anys;espanyola;dones;població;;49914
2021;Catalunya;55 anys;espanyola;total;població;;98873
2021;Catalunya;55 anys;estrangera;homes;població;;6284
2021;Catalunya;55 anys;estrangera;dones;població;;5702
2021;Catalunya;55 anys;estrangera;total;població;;11986
2021;Catalunya;55 anys;total;homes;població;;55243
2021;Catalunya;55 anys;total;dones;població;;55616
2021;Catalunya;55 anys;total;total;població;;110859
2021;Catalunya;56 anys;espanyola;homes;població;;49407
2021;Catalunya;56 anys;espanyola;dones;població;;50399
2021;Catalunya;56 anys;espanyola;total;població;;99806
2021;Catalunya;56 anys;estrangera;homes;població;;5966
2021;Catalunya;56 anys;estrangera;dones;població;;5375
2021;Catalunya;56 anys;estrangera;total;població;;11341
2021;Catalunya;56 anys;total;homes;població;;55373
2021;Catalunya;56 anys;total;dones;població;;55774
2021;Catalunya;56 anys;total;total;població;;111147
2021;Catalunya;57 anys;espanyola;homes;població;;45685
2021;Catalunya;57 anys;espanyola;dones;població;;47731
2021;Catalunya;57 anys;espanyola;total;població;;93416
2021;Catalunya;57 anys;estrangera;homes;població;;5278
2021;Catalunya;57 anys;estrangera;dones;població;;5089
2021;Catalunya;57 anys;estrangera;total;població;;10367
