Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
26221,1503,66,52,ABP Alt Empordà - Figueres,abril,280,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,619,143,52,ABP Alt Empordà - Figueres,abril,195,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,847,45,52,ABP Alt Empordà - Figueres,abril,62,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,126,72,52,ABP Alt Empordà - Figueres,abril,74,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,84,13,52,ABP Alt Empordà - Figueres,abril,41,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,58,7,104,ABP Alt Empordà - Figueres,agost,30,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,2262,72,104,ABP Alt Empordà - Figueres,agost,364,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,513,106,104,ABP Alt Empordà - Figueres,agost,131,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,890,61,104,ABP Alt Empordà - Figueres,agost,72,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,139,62,104,ABP Alt Empordà - Figueres,agost,68,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,99,9,104,ABP Alt Empordà - Figueres,agost,53,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24200,53,3,144,ABP Alt Empordà - Figueres,desembre,30,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1641,65,156,ABP Alt Empordà - Figueres,desembre,274,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,753,108,156,ABP Alt Empordà - Figueres,desembre,163,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,672,45,156,ABP Alt Empordà - Figueres,desembre,57,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,130,64,156,ABP Alt Empordà - Figueres,desembre,70,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,113,17,156,ABP Alt Empordà - Figueres,desembre,61,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
