 Visitants estrangers amb destinació principal a Catalunya. Per motiu del viatge, tipus de viatger, via d'accés, país de residència, forma d'organització i mes
Tipus de viatger / Motiu del viatge / temps
Mètriques: Visitants
Destinació principal: Catalunya

Via d'accés:Total
País de residència:Total
forma d'organització viatge:Total
(p);"Dada provisional"
(*);"Estimació amb alta variabilitat"
(u);"Dada amb baixa fiabilitat"
(:);"Dada no disponible"
Font: Idescat, a partir de dades de l'Estadística de moviments turístics en frontera i Enquesta de despesa turística de l'INE.
https://www.idescat.cat/visor/?id=turest&dataset=1&cc=true&cm=factor_ind_factor&cd=t.mes,terr.ccaa,mv.mv,tv.tv&cf=t.mes[202405]&rows=temps_24050&filters=territori_emtf_25077.09&rows=n4_emtf_dim_motiu_princ_viatg_25076&columns=n4_emtf_dim_codi_questionari_25072&filters=concept.factor_ind_factor&tc=true&tm=factor_ind_factor&td=t.mes,terr.ccaa,mv.mv,tv.tv,factor_ind_factor#
"temps";"Destinació principal";"Motiu del viatge";"Tipus de viatger";Mètriques;Valors;estatus;Dada provisional;
"08/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"425,4";"";""
"08/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1458,9";"";""
"07/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"724,4";"";""
"07/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"299,7";"";""
"07/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1024,1";"";""
"06/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"306,3";"";""
"06/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"231,1";"";""
"06/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"537,4";"";""
"05/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"172,4";"";""
"05/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"125,7";"";""
"05/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"298,1";"";""
"04/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"45,7";"";""
"04/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"40";"";""
"04/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"85,7";"";""
"03/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"42";"";""
"03/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"54,3";"";""
"03/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"96,3";"";""
"02/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"22,5";"";""
"02/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"41,9";"";""
"02/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"64,5";"";""
"01/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"44,3";"";""
"01/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"32,4";"";""
"01/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"76,7";"";""
"12/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"45,9";"";""
"12/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"77,4";"";""
"12/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"123,3";"";""
"11/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"25,9";"";""
"11/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"24,4";"";""
"11/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"50,4";"";""
"10/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"185,2";"";""
"10/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"247,3";"";""
"10/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"432,6";"";""
"09/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"208,5";"";""
"09/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"245,4";"";""
"09/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"454";"";""
"08/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"425,5";"";""
"08/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"380";"";""
"08/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"805,5";"";""
"07/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"386,6";"";""
