id_infant_jove,data_entrada_sistema,any_entrada_sistema,mes_entrada_sistema,Servei_territorial_gestio_cas,data_naixement_infant,sexe_infant,Origen_infant
82905,06/07/2015,2015,07Juliol,Barcelona ciutat,06/10/1998,Nois,Altra
82937,07/07/2015,2015,07Juliol,Barcelona comarques,13/07/1997,Nois,Altra
83034,09/07/2015,2015,07Juliol,Barcelona ciutat,19/12/2000,Nois,Marroc
82995,09/07/2015,2015,07Juliol,Barcelona comarques,07/08/2001,Nois,Marroc
83105,10/07/2015,2015,07Juliol,Barcelona ciutat,31/12/1999,Nois,Països Subsharians
83111,11/07/2015,2015,07Juliol,Barcelona ciutat,27/03/1998,Nois,No informada
83265,15/07/2015,2015,07Juliol,Lleida,31/12/1998,Nois,No informada
83216,15/07/2015,2015,07Juliol,Girona,01/01/1998,Nois,Països Subsharians
83270,16/07/2015,2015,07Juliol,Barcelona ciutat,01/01/1998,Noies,Altra
83355,19/07/2015,2015,07Juliol,Barcelona ciutat,31/12/1997,Noies,Països Subsharians
73867,20/07/2015,2015,07Juliol,Barcelona comarques,23/08/2002,Nois,Marroc
83446,21/07/2015,2015,07Juliol,Barcelona comarques,25/02/1999,Nois,Marroc
83464,22/07/2015,2015,07Juliol,Barcelona ciutat,01/01/2000,Nois,Marroc
83518,23/07/2015,2015,07Juliol,Barcelona ciutat,02/10/1997,Nois,Marroc
83602,28/07/2015,2015,07Juliol,Barcelona ciutat,19/11/1985,Nois,Marroc
83724,02/08/2015,2015,08Agost,Barcelona ciutat,19/12/1994,Nois,Marroc
83815,04/08/2015,2015,08Agost,Barcelona comarques,31/12/1998,Nois,Altra
83813,04/08/2015,2015,08Agost,Barcelona comarques,31/12/1998,Nois,Magreb (excloent Marroc)
83814,04/08/2015,2015,08Agost,Àrea Metropolitana BCN,02/01/2002,Noies,Altra
83812,04/08/2015,2015,08Agost,Barcelona comarques,14/10/2000,Nois,Marroc
83811,04/08/2015,2015,08Agost,Barcelona ciutat,29/12/1997,Nois,Magreb (excloent Marroc)
83930,07/08/2015,2015,08Agost,Barcelona comarques,02/12/1998,Nois,Altra
83933,07/08/2015,2015,08Agost,Barcelona ciutat,31/12/1998,Nois,Països Subsharians
83938,08/08/2015,2015,08Agost,Barcelona ciutat,08/07/1998,Nois,Altra
83939,09/08/2015,2015,08Agost,Barcelona ciutat,20/03/1999,Nois,Marroc
83973,10/08/2015,2015,08Agost,Tarragona,10/08/1998,Noies,Països Subsharians
83993,11/08/2015,2015,08Agost,Barcelona ciutat,14/07/1999,Nois,Marroc
83998,11/08/2015,2015,08Agost,Barcelona ciutat,26/03/1998,Noies,Marroc
84020,12/08/2015,2015,08Agost,Barcelona ciutat,10/01/1999,Nois,Marroc
84021,12/08/2015,2015,08Agost,Barcelona ciutat,13/07/2001,Nois,Marroc
84017,12/08/2015,2015,08Agost,Barcelona ciutat,30/09/1998,Nois,Marroc
84022,13/08/2015,2015,08Agost,Barcelona comarques,26/01/2002,Nois,Marroc
84083,16/08/2015,2015,08Agost,Barcelona ciutat,29/12/1999,Nois,Altra
84103,18/08/2015,2015,08Agost,Barcelona ciutat,06/06/1999,Nois,Marroc
84147,19/08/2015,2015,08Agost,Barcelona ciutat,07/07/1998,Nois,Marroc
84146,19/08/2015,2015,08Agost,Barcelona ciutat,01/01/1999,Nois,Marroc
84148,19/08/2015,2015,08Agost,Barcelona ciutat,24/07/1997,Nois,Marroc
84149,20/08/2015,2015,08Agost,Barcelona comarques,31/12/1999,Nois,Altra
84183,21/08/2015,2015,08Agost,Barcelona ciutat,31/12/2000,Nois,Marroc
84184,21/08/2015,2015,08Agost,Barcelona ciutat,22/12/1998,Nois,Marroc
84192,23/08/2015,2015,08Agost,Barcelona ciutat,23/04/1999,Nois,Altra
