SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2023S2,TOTAL,Y078,TOTAL,POP,p,60105
2023S2,TOTAL,Y079,M,POP,p,23932
2023S2,TOTAL,Y079,F,POP,p,32035
2023S2,TOTAL,Y079,TOTAL,POP,p,55967
2023S2,TOTAL,Y080,M,POP,p,21164
2023S2,TOTAL,Y080,F,POP,p,28560
2023S2,TOTAL,Y080,TOTAL,POP,p,49724
2023S2,TOTAL,Y081,M,POP,p,18113
2023S2,TOTAL,Y081,F,POP,p,24921
2023S2,TOTAL,Y081,TOTAL,POP,p,43034
2023S2,TOTAL,Y082,M,POP,p,18696
2023S2,TOTAL,Y082,F,POP,p,26272
2023S2,TOTAL,Y082,TOTAL,POP,p,44968
2023S2,TOTAL,Y083,M,POP,p,15486
2023S2,TOTAL,Y083,F,POP,p,22187
2023S2,TOTAL,Y083,TOTAL,POP,p,37673
2023S2,TOTAL,Y084,M,POP,p,11250
2023S2,TOTAL,Y084,F,POP,p,17162
2023S2,TOTAL,Y084,TOTAL,POP,p,28412
2023S2,TOTAL,Y085,M,POP,p,12595
2023S2,TOTAL,Y085,F,POP,p,20062
2023S2,TOTAL,Y085,TOTAL,POP,p,32657
2023S2,TOTAL,Y086,M,POP,p,12866
2023S2,TOTAL,Y086,F,POP,p,21703
2023S2,TOTAL,Y086,TOTAL,POP,p,34569
2023S2,TOTAL,Y087,M,POP,p,11615
2023S2,TOTAL,Y087,F,POP,p,20539
2023S2,TOTAL,Y087,TOTAL,POP,p,32154
2023S2,TOTAL,Y088,M,POP,p,10019
2023S2,TOTAL,Y088,F,POP,p,18311
2023S2,TOTAL,Y088,TOTAL,POP,p,28330
2023S2,TOTAL,Y089,M,POP,p,8539
2023S2,TOTAL,Y089,F,POP,p,16662
2023S2,TOTAL,Y089,TOTAL,POP,p,25201
2023S2,TOTAL,Y090,M,POP,p,7234
2023S2,TOTAL,Y090,F,POP,p,14995
2023S2,TOTAL,Y090,TOTAL,POP,p,22229
2023S2,TOTAL,Y091,M,POP,p,5874
2023S2,TOTAL,Y091,F,POP,p,12955
2023S2,TOTAL,Y091,TOTAL,POP,p,18829
2023S2,TOTAL,Y092,M,POP,p,4559
2023S2,TOTAL,Y092,F,POP,p,10946
2023S2,TOTAL,Y092,TOTAL,POP,p,15505
2023S2,TOTAL,Y093,M,POP,p,3411
2023S2,TOTAL,Y093,F,POP,p,8792
2023S2,TOTAL,Y093,TOTAL,POP,p,12203
2023S2,TOTAL,Y094,M,POP,p,2477
2023S2,TOTAL,Y094,F,POP,p,6826
2023S2,TOTAL,Y094,TOTAL,POP,p,9303
2023S2,TOTAL,Y095,M,POP,p,1786
2023S2,TOTAL,Y095,F,POP,p,5321
2023S2,TOTAL,Y095,TOTAL,POP,p,7107
2023S2,TOTAL,Y096,M,POP,p,1207
2023S2,TOTAL,Y096,F,POP,p,3999
2023S2,TOTAL,Y096,TOTAL,POP,p,5206
2023S2,TOTAL,Y097,M,POP,p,816
2023S2,TOTAL,Y097,F,POP,p,2955
2023S2,TOTAL,Y097,TOTAL,POP,p,3771
2023S2,TOTAL,Y098,M,POP,p,539
2023S2,TOTAL,Y098,F,POP,p,2079
2023S2,TOTAL,Y098,TOTAL,POP,p,2618
2023S2,TOTAL,Y099,M,POP,p,327
2023S2,TOTAL,Y099,F,POP,p,1419
2023S2,TOTAL,Y099,TOTAL,POP,p,1746
