SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1987S1,TOTAL,Y038,F,POP,,44713
1987S1,TOTAL,Y038,TOTAL,POP,,88769
1987S1,TOTAL,Y039,M,POP,,40792
1987S1,TOTAL,Y039,F,POP,,40581
1987S1,TOTAL,Y039,TOTAL,POP,,81373
1987S1,TOTAL,Y040,M,POP,,38772
1987S1,TOTAL,Y040,F,POP,,38742
1987S1,TOTAL,Y040,TOTAL,POP,,77514
1987S1,TOTAL,Y041,M,POP,,41488
1987S1,TOTAL,Y041,F,POP,,41256
1987S1,TOTAL,Y041,TOTAL,POP,,82744
1987S1,TOTAL,Y042,M,POP,,38885
1987S1,TOTAL,Y042,F,POP,,39233
1987S1,TOTAL,Y042,TOTAL,POP,,78118
1987S1,TOTAL,Y043,M,POP,,38546
1987S1,TOTAL,Y043,F,POP,,38248
1987S1,TOTAL,Y043,TOTAL,POP,,76794
1987S1,TOTAL,Y044,M,POP,,33216
1987S1,TOTAL,Y044,F,POP,,32797
1987S1,TOTAL,Y044,TOTAL,POP,,66013
1987S1,TOTAL,Y045,M,POP,,31377
1987S1,TOTAL,Y045,F,POP,,30874
1987S1,TOTAL,Y045,TOTAL,POP,,62251
1987S1,TOTAL,Y046,M,POP,,40576
1987S1,TOTAL,Y046,F,POP,,39328
1987S1,TOTAL,Y046,TOTAL,POP,,79904
1987S1,TOTAL,Y047,M,POP,,22916
1987S1,TOTAL,Y047,F,POP,,22807
1987S1,TOTAL,Y047,TOTAL,POP,,45723
1987S1,TOTAL,Y048,M,POP,,28543
1987S1,TOTAL,Y048,F,POP,,28296
1987S1,TOTAL,Y048,TOTAL,POP,,56839
1987S1,TOTAL,Y049,M,POP,,34813
1987S1,TOTAL,Y049,F,POP,,34590
1987S1,TOTAL,Y049,TOTAL,POP,,69403
1987S1,TOTAL,Y050,M,POP,,37338
1987S1,TOTAL,Y050,F,POP,,38789
1987S1,TOTAL,Y050,TOTAL,POP,,76127
1987S1,TOTAL,Y051,M,POP,,35706
1987S1,TOTAL,Y051,F,POP,,36663
1987S1,TOTAL,Y051,TOTAL,POP,,72369
1987S1,TOTAL,Y052,M,POP,,35633
1987S1,TOTAL,Y052,F,POP,,36062
1987S1,TOTAL,Y052,TOTAL,POP,,71695
1987S1,TOTAL,Y053,M,POP,,36867
1987S1,TOTAL,Y053,F,POP,,38363
1987S1,TOTAL,Y053,TOTAL,POP,,75230
1987S1,TOTAL,Y054,M,POP,,36316
1987S1,TOTAL,Y054,F,POP,,38107
1987S1,TOTAL,Y054,TOTAL,POP,,74423
1987S1,TOTAL,Y055,M,POP,,35404
1987S1,TOTAL,Y055,F,POP,,37043
1987S1,TOTAL,Y055,TOTAL,POP,,72447
1987S1,TOTAL,Y056,M,POP,,35532
1987S1,TOTAL,Y056,F,POP,,38145
1987S1,TOTAL,Y056,TOTAL,POP,,73677
1987S1,TOTAL,Y057,M,POP,,33660
1987S1,TOTAL,Y057,F,POP,,35937
1987S1,TOTAL,Y057,TOTAL,POP,,69597
1987S1,TOTAL,Y058,M,POP,,33407
1987S1,TOTAL,Y058,F,POP,,35964
1987S1,TOTAL,Y058,TOTAL,POP,,69371
1987S1,TOTAL,Y059,M,POP,,32046
1987S1,TOTAL,Y059,F,POP,,34801
