SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1981S1,TOTAL,Y063,TOTAL,POP,,47098
1981S1,TOTAL,Y064,M,POP,,20777
1981S1,TOTAL,Y064,F,POP,,26141
1981S1,TOTAL,Y064,TOTAL,POP,,46918
1981S1,TOTAL,Y065,M,POP,,20272
1981S1,TOTAL,Y065,F,POP,,25920
1981S1,TOTAL,Y065,TOTAL,POP,,46192
1981S1,TOTAL,Y066,M,POP,,20433
1981S1,TOTAL,Y066,F,POP,,26569
1981S1,TOTAL,Y066,TOTAL,POP,,47002
1981S1,TOTAL,Y067,M,POP,,19552
1981S1,TOTAL,Y067,F,POP,,25348
1981S1,TOTAL,Y067,TOTAL,POP,,44900
1981S1,TOTAL,Y068,M,POP,,19239
1981S1,TOTAL,Y068,F,POP,,25045
1981S1,TOTAL,Y068,TOTAL,POP,,44284
1981S1,TOTAL,Y069,M,POP,,17808
1981S1,TOTAL,Y069,F,POP,,24078
1981S1,TOTAL,Y069,TOTAL,POP,,41886
1981S1,TOTAL,Y070,M,POP,,17587
1981S1,TOTAL,Y070,F,POP,,24549
1981S1,TOTAL,Y070,TOTAL,POP,,42136
1981S1,TOTAL,Y071,M,POP,,16279
1981S1,TOTAL,Y071,F,POP,,23432
1981S1,TOTAL,Y071,TOTAL,POP,,39711
1981S1,TOTAL,Y072,M,POP,,15459
1981S1,TOTAL,Y072,F,POP,,21580
1981S1,TOTAL,Y072,TOTAL,POP,,37039
1981S1,TOTAL,Y073,M,POP,,14119
1981S1,TOTAL,Y073,F,POP,,20716
1981S1,TOTAL,Y073,TOTAL,POP,,34835
1981S1,TOTAL,Y074,M,POP,,12875
1981S1,TOTAL,Y074,F,POP,,19783
1981S1,TOTAL,Y074,TOTAL,POP,,32658
1981S1,TOTAL,Y075,M,POP,,12169
1981S1,TOTAL,Y075,F,POP,,18575
1981S1,TOTAL,Y075,TOTAL,POP,,30744
1981S1,TOTAL,Y076,M,POP,,10726
1981S1,TOTAL,Y076,F,POP,,17327
1981S1,TOTAL,Y076,TOTAL,POP,,28053
1981S1,TOTAL,Y077,M,POP,,10126
1981S1,TOTAL,Y077,F,POP,,15998
1981S1,TOTAL,Y077,TOTAL,POP,,26124
1981S1,TOTAL,Y078,M,POP,,9157
1981S1,TOTAL,Y078,F,POP,,15248
1981S1,TOTAL,Y078,TOTAL,POP,,24405
1981S1,TOTAL,Y079,M,POP,,8202
1981S1,TOTAL,Y079,F,POP,,13178
1981S1,TOTAL,Y079,TOTAL,POP,,21380
1981S1,TOTAL,Y080,M,POP,,7602
1981S1,TOTAL,Y080,F,POP,,14041
1981S1,TOTAL,Y080,TOTAL,POP,,21643
1981S1,TOTAL,Y081,M,POP,,5500
1981S1,TOTAL,Y081,F,POP,,9539
1981S1,TOTAL,Y081,TOTAL,POP,,15039
1981S1,TOTAL,Y082,M,POP,,4654
1981S1,TOTAL,Y082,F,POP,,8925
1981S1,TOTAL,Y082,TOTAL,POP,,13579
1981S1,TOTAL,Y083,M,POP,,4168
1981S1,TOTAL,Y083,F,POP,,7424
1981S1,TOTAL,Y083,TOTAL,POP,,11592
1981S1,TOTAL,Y084,M,POP,,3764
1981S1,TOTAL,Y084,F,POP,,6875
1981S1,TOTAL,Y084,TOTAL,POP,,10639
1981S1,TOTAL,Y085,M,POP,,2835
1981S1,TOTAL,Y085,F,POP,,5987
1981S1,TOTAL,Y085,TOTAL,POP,,8822
1981S1,TOTAL,Y086,M,POP,,2349
1981S1,TOTAL,Y086,F,POP,,4757
1981S1,TOTAL,Y086,TOTAL,POP,,7106
1981S1,TOTAL,Y087,M,POP,,1644
1981S1,TOTAL,Y087,F,POP,,3747
1981S1,TOTAL,Y087,TOTAL,POP,,5391
1981S1,TOTAL,Y088,M,POP,,1482
1981S1,TOTAL,Y088,F,POP,,3155
1981S1,TOTAL,Y088,TOTAL,POP,,4637
1981S1,TOTAL,Y089,M,POP,,962
1981S1,TOTAL,Y089,F,POP,,2362
1981S1,TOTAL,Y089,TOTAL,POP,,3324
1981S1,TOTAL,Y090,M,POP,,826
1981S1,TOTAL,Y090,F,POP,,1953
1981S1,TOTAL,Y090,TOTAL,POP,,2779
1981S1,TOTAL,Y091,M,POP,,655
1981S1,TOTAL,Y091,F,POP,,1623
1981S1,TOTAL,Y091,TOTAL,POP,,2278
1981S1,TOTAL,Y092,M,POP,,494
1981S1,TOTAL,Y092,F,POP,,1260
1981S1,TOTAL,Y092,TOTAL,POP,,1754
1981S1,TOTAL,Y093,M,POP,,278
1981S1,TOTAL,Y093,F,POP,,696
1981S1,TOTAL,Y093,TOTAL,POP,,974
1981S1,TOTAL,Y094,M,POP,,148
1981S1,TOTAL,Y094,F,POP,,516
1981S1,TOTAL,Y094,TOTAL,POP,,664
1981S1,TOTAL,Y_GE095,M,POP,,386
1981S1,TOTAL,Y_GE095,F,POP,,1179
1981S1,TOTAL,Y_GE095,TOTAL,POP,,1565
1981S1,TOTAL,TOTAL,M,POP,,2916527
1981S1,TOTAL,TOTAL,F,POP,,3033302
1981S1,TOTAL,TOTAL,TOTAL,POP,,5949829
1981S2,TOTAL,Y000,M,POP,,40559
1981S2,TOTAL,Y000,F,POP,,37543
1981S2,TOTAL,Y000,TOTAL,POP,,78102
1981S2,TOTAL,Y001,M,POP,,44210
1981S2,TOTAL,Y001,F,POP,,41826
1981S2,TOTAL,Y001,TOTAL,POP,,86036
1981S2,TOTAL,Y002,M,POP,,47875
1981S2,TOTAL,Y002,F,POP,,45159
1981S2,TOTAL,Y002,TOTAL,POP,,93034
1981S2,TOTAL,Y003,M,POP,,50431
1981S2,TOTAL,Y003,F,POP,,47665
1981S2,TOTAL,Y003,TOTAL,POP,,98096
1981S2,TOTAL,Y004,M,POP,,52548
1981S2,TOTAL,Y004,F,POP,,49605
1981S2,TOTAL,Y004,TOTAL,POP,,102153
1981S2,TOTAL,Y005,M,POP,,54604
1981S2,TOTAL,Y005,F,POP,,51201
1981S2,TOTAL,Y005,TOTAL,POP,,105805
1981S2,TOTAL,Y006,M,POP,,55015
1981S2,TOTAL,Y006,F,POP,,51597
1981S2,TOTAL,Y006,TOTAL,POP,,106612
1981S2,TOTAL,Y007,M,POP,,53961
1981S2,TOTAL,Y007,F,POP,,51107
1981S2,TOTAL,Y007,TOTAL,POP,,105068
1981S2,TOTAL,Y008,M,POP,,52973
1981S2,TOTAL,Y008,F,POP,,50180
1981S2,TOTAL,Y008,TOTAL,POP,,103153
1981S2,TOTAL,Y009,M,POP,,52721
1981S2,TOTAL,Y009,F,POP,,48762
1981S2,TOTAL,Y009,TOTAL,POP,,101483
1981S2,TOTAL,Y010,M,POP,,51858
1981S2,TOTAL,Y010,F,POP,,48592
1981S2,TOTAL,Y010,TOTAL,POP,,100450
1981S2,TOTAL,Y011,M,POP,,50277
1981S2,TOTAL,Y011,F,POP,,48145
1981S2,TOTAL,Y011,TOTAL,POP,,98422
1981S2,TOTAL,Y012,M,POP,,49557
1981S2,TOTAL,Y012,F,POP,,47216
1981S2,TOTAL,Y012,TOTAL,POP,,96773
1981S2,TOTAL,Y013,M,POP,,50535
1981S2,TOTAL,Y013,F,POP,,47778
1981S2,TOTAL,Y013,TOTAL,POP,,98313
1981S2,TOTAL,Y014,M,POP,,50459
